search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,200,982.9067443370818,45.81911,31.818182,41.394997,53.67457,69.314476,43.087223,32.78562,49.1,67.666664,1.1733028,646.7606,-0.64499,0.17505942,-0.34679025,982.8
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,200,985.6066826343535,45.648464,32.82828,42.380592,53.565025,69.42329,43.073578,32.49711,48.566666,51.324505,1.3079549,614.87335,-0.39000547,-1.0053195,-0.613756,985.5
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,400,1965.606756544113,46.672356,32.82828,45.337376,54.152557,69.58651,43.600018,32.16488,49.1,70.62937,2.0617845,624.9962,0.03940407,-0.23802409,-0.0614789,1965.5
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,400,1971.006707048416,46.160408,31.818182,42.380592,53.75423,69.640915,43.18019,32.790607,50.566666,56.802723,1.2288944,610.26416,-0.65932643,-1.0271436,-0.7930781,1970.9
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,600,2948.4068053722385,47.013653,30.30303,45.640636,54.2621,69.640915,44.08559,35.37597,49.1,66.666664,2.0596662,642.6026,0.15918961,-0.11836085,0.05826217,2948.3
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,600,2956.506584978104,46.245735,31.818182,42.380592,53.684525,69.42329,43.198032,32.972958,48.733334,63.636364,1.0954256,615.4475,-0.826433,-1.0502017,-0.9078034,2956.4
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,800,3931.1067565441135,46.92833,30.30303,45.109932,54.31189,69.80414,44.2878,35.805607,53.5,77.210884,2.4088514,656.6074,-0.03838493,0.697033,0.22903977,3931.0
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,800,3942.006584978104,46.245735,31.818182,42.380592,53.843857,69.47769,43.279465,33.420105,44.1,55.714287,1.1931527,630.68475,-0.9844561,-1.539535,-1.186303,3941.9
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,1000,4913.9065612316135,46.843002,29.79798,45.564823,54.49114,69.640915,44.498436,35.713184,51.1,71.72414,2.5325596,649.71344,-0.057296216,0.21169345,0.04051821,4913.8
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,1000,4927.406487321854,46.33106,31.818182,42.380592,53.82394,69.5321,43.282692,33.836,50.933334,65.789474,1.0549306,602.55835,-0.88561004,-1.0303704,-0.9382501,4927.3
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,1200,5896.6067565441135,46.92833,30.30303,45.109932,54.46126,69.58651,44.479717,36.767334,51.6,70.86331,2.5307245,671.2755,0.12366702,0.54173696,0.27569246,5896.5
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,1200,5912.906487321854,46.33106,32.32323,42.380592,53.833897,69.640915,43.27151,33.748566,49.733334,61.22449,1.2044158,572.7467,-0.52047586,-1.3472456,-0.82111937,5912.8
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,1400,6879.4065612316135,47.013653,33.333332,46.702045,54.381596,69.80414,44.38801,36.606205,51.5,76.59574,2.8577712,666.8164,0.63632333,0.85740006,0.7167149,6879.3
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,1400,6898.406487321854,46.245735,31.313131,42.380592,53.76419,69.15125,43.28005,32.649483,49.5,64.52702,1.4684163,607.0839,-1.1367617,-0.951564,-1.0694171,6898.3
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,1600,7862.1067565441135,46.75768,31.818182,45.792267,54.43139,69.749725,44.522556,37.58666,51.733334,70.89041,3.3189597,643.52435,0.42157233,0.6163181,0.49238896,7862.0
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,1600,7883.806877946854,46.33106,31.818182,42.380592,53.863773,69.26006,43.32122,33.127823,48.4,61.589405,1.8400958,605.22235,-0.90749556,-0.91648394,-0.91076404,7883.7
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,1800,8844.906561231612,46.92833,30.80808,46.39879,54.391556,69.91295,44.41325,36.73736,52.7,73.310814,2.7294686,632.24347,0.40042007,0.4812454,0.4298111,8844.8
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,1800,8869.306877946852,46.587032,32.32323,42.380592,53.67457,69.47769,43.28705,32.19984,48.166668,58.10811,1.1338261,615.90076,-0.66970927,-1.3174089,-0.9052364,8869.2
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,2000,9827.606756544112,46.672356,31.313131,45.564823,54.471222,69.749725,44.493855,35.163643,49.7,69.23077,3.2498186,636.6769,0.12404038,-0.0014270463,0.078415856,9827.5
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,2000,9854.706292009352,46.075085,31.818182,42.380592,53.853813,69.26006,43.31176,32.56703,49.233334,60.738255,1.1709927,597.1786,-1.1004181,-1.4434116,-1.225143,9854.6
Z-Dynamic,RandomSearch,0,1,2e-06,0.01,2031,9979.906561231612,46.672356,31.818182,45.413193,54.441345,69.967354,44.433033,36.677406,52.233334,76.01351,2.713294,655.48126,0.40157288,0.45891052,0.42242295,9979.8
Z-Dynamic,RandomSearch,0,0,1e-06,0.02,2031,10007.507073259352,46.41638,30.30303,42.380592,53.734318,69.314476,43.39939,33.012905,49.233334,64.62585,1.2986337,635.04065,-1.0832226,-1.0072632,-1.055601,10007.4
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,200,10997.828610754012,47.013653,31.313131,44.88249,54.232224,69.42329,43.657223,32.651974,47.766666,68.120804,2.3462389,644.27295,0.589069,0.5802494,0.5858619,987.6
Z-Dynamic,RandomSearch,0,2,1e-06,0.01,200,11206.328098869322,45.81911,32.82828,43.59363,53.49532,69.042435,43.180775,33.420105,50.766666,55.743244,1.2694823,607.5947,-0.23753114,-0.36858687,-0.28518778,1226.1
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,400,11985.42858633995,47.35495,30.80808,46.702045,54.670383,69.42329,45.070538,36.74484,54.0,69.93007,3.1017833,658.6331,0.5689868,1.0204924,0.7331706,1975.2
Z-Dynamic,RandomSearch,0,2,1e-06,0.01,400,12432.52817211151,46.245735,32.32323,43.59363,53.7144,69.58651,43.15273,33.120342,51.133335,58.55263,1.2694823,612.07324,-0.47777018,-0.8625373,-0.6176855,2452.3
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,600,12973.128537511824,47.440273,27.777779,45.716454,54.63055,69.42329,45.301453,41.90808,55.266666,79.13669,3.3298798,644.28986,0.36426777,1.39163,0.737854,2962.9
Z-Dynamic,RandomSearch,0,2,1e-06,0.01,600,13658.628025627137,46.160408,30.30303,43.59363,53.82394,69.36888,43.218082,33.30768,47.566666,59.52381,1.0721513,632.0273,-0.93274224,-1.0535458,-0.9766708,3678.4
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,800,13960.728635168074,47.525597,30.80808,44.579227,54.6903,69.91295,45.471313,39.49382,55.333332,70.50359,3.6784594,664.7318,0.8628366,0.999941,0.9126927,3950.5
Z-Dynamic,RandomSearch,0,2,1e-06,0.01,800,14884.728123283385,46.33106,31.818182,43.59363,53.833897,69.5321,43.21633,32.393436,47.9,62.66234,1.5847418,603.3896,-0.8723465,-1.1567631,-0.9757707,4904.5
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1000,14948.328732824324,47.1843,31.818182,44.88249,54.76001,69.85854,45.469807,38.900562,56.2,71.78571,3.5097466,635.99506,0.8172389,0.9680352,0.87207395,4938.1
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1200,15935.928830480574,47.35495,31.313131,44.124336,54.829716,69.69532,45.581097,39.358955,54.8,69.50355,3.9543455,644.7766,0.8318554,0.9323122,0.86838514,5925.7
Z-Dynamic,RandomSearch,0,2,1e-06,0.01,1000,16110.928318595885,46.587032,31.313131,43.59363,53.804024,69.47769,43.24423,31.462963,49.533333,61.824326,1.3206133,638.65564,-0.9238398,-1.1063519,-0.99020785,6130.7
