lr,beta,dpo_step,elapsed_time_sec,model_name,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,size
1e-06,0.01,200,1226.1,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step200,45.81911262798635,32.82828282828283,,53.49531965743876,69.0424374319913,43.18077301539407,33.420103104207946,50.83333333333333,55.74324324324324,1.2905044486733648,607.5947446215871,0.6b
1e-06,0.01,400,2452.3,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step400,46.2457337883959,32.323232323232325,,53.714399522007575,69.58650707290533,43.15272774047148,33.12034291236142,51.266666666666666,58.55263157894737,1.2694822903388534,612.0732513669307,0.6b
1e-06,0.01,600,3678.4,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step600,46.160409556314,30.303030303030305,,53.82393945429197,69.36887921653971,43.218082728059166,33.30767918013095,47.46666666666667,59.523809523809526,1.0721513223342634,632.0272927992604,0.6b
1e-06,0.01,800,4904.5,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step800,46.33105802047782,31.818181818181817,,53.833897629954194,69.53210010881394,43.21633288201323,32.39343829926816,47.93333333333333,62.66233766233766,1.5847418868137075,603.3895922898274,0.6b
1e-06,0.01,1000,6130.7,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step1000,46.58703071672355,31.313131313131315,,53.804023102967534,69.47769314472254,43.24422684276389,31.46296271670279,49.46666666666666,61.82432432432432,1.320613272698451,638.6556253078936,0.6b
1e-06,0.01,1200,7356.8,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step1200,46.33105802047782,32.323232323232325,,,69.26006528835691,43.25704371895354,32.741902596222474,48.83333333333333,60.85526315789473,1.3234149587184496,596.8879630348148,0.6b
1e-06,0.01,1400,8582.9,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step1400,46.33105802047782,32.323232323232325,,53.82393945429197,69.80413492927094,43.218675220993255,33.34264196775666,48.99999999999999,60.810810810810814,1.495504934162171,627.5615294988329,0.6b
1e-06,0.01,1600,9809.0,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step1600,46.160409556314,31.818181818181817,,53.89364668392751,69.26006528835691,43.300834421558406,33.06039087399212,46.6,62.5,1.5909759886408552,562.5751735960475,0.6b
1e-06,0.01,1800,11035.2,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step1800,46.33105802047782,31.818181818181817,,53.7841067516431,69.1512513601741,43.21802751707688,33.2452337575411,50.8,60.47297297297297,1.628866890687403,600.2037154492623,0.6b
1e-06,0.01,2000,12261.3,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01-step2000,46.33105802047782,33.33333333333333,,53.86377215694085,69.64091403699673,43.17190065706817,33.53623940034664,49.66666666666666,62.0,1.0593827999090644,643.6153886648397,0.6b
1e-06,0.01,2031,12451.4,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.01,46.2457337883959,31.818181818181817,43.59363153904473,53.75423222465644,69.42328618063112,43.173850760054414,32.266054069867955,48.66666666666666,61.25827814569536,1.3570068918696192,652.2110732583229,0.6b
1e-06,0.02,200,985.5,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step200,45.64846416382253,32.82828282828283,,53.56502688707428,69.42328618063112,43.07357801269517,32.49710767430418,48.56666666666666,51.32450331125828,1.3079548530737697,614.8733418816573,0.6b
1e-06,0.02,400,1970.9,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step400,46.160409556314,31.818181818181817,,53.75423222465644,69.64091403699673,43.18019078952451,32.79060670133024,50.7,56.80272108843537,1.228894379612416,610.2641547243841,0.6b
1e-06,0.02,600,2956.4,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step600,46.2457337883959,31.818181818181817,,53.68452499502091,69.42328618063112,43.19803414888224,32.9729562006587,48.6,63.63636363636363,1.0954255804558268,615.4475094050568,0.6b
1e-06,0.02,800,3941.9,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step800,46.2457337883959,31.818181818181817,,53.843855805616414,69.47769314472254,43.2794651816132,33.420103104207946,43.633333333333326,55.71428571428572,1.1931526177650391,630.6847667026393,0.6b
1e-06,0.02,1000,4927.3,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step1000,46.33105802047782,31.818181818181817,,53.82393945429197,69.53210010881394,43.28269056009819,33.835999592193154,51.03333333333333,65.78947368421053,1.0549305149244044,602.5583328704806,0.6b
1e-06,0.02,1200,5912.8,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step1200,46.33105802047782,32.323232323232325,,53.833897629954194,69.64091403699673,43.27151002084744,33.748564918859735,49.8,61.224489795918366,1.2044157394273178,572.7467232165419,0.6b
1e-06,0.02,1400,6898.3,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step1400,46.2457337883959,31.313131313131315,,53.764190400318654,69.1512513601741,43.28004674684951,32.649481154447976,49.33333333333333,64.52702702702703,1.4684163137635122,607.0839272745434,0.6b
1e-06,0.02,1600,7883.7,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step1600,46.33105802047782,31.818181818181817,,53.86377215694085,69.26006528835691,43.32121989439284,33.12782306502303,48.36666666666666,61.58940397350994,1.8400957554940047,605.2223509863226,0.6b
1e-06,0.02,1800,8869.2,dpo-qwen3-0.6b-sft-lr3e5-ao-lr1e6-beta0.02-step1800,46.58703071672355,32.323232323232325,,53.674566819358695,69.47769314472254,43.28704923081551,32.199840866678194,48.2,58.108108108108105,1.1338260957150368,615.9007684665831,0.6b
