search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,400,36078.665748453146,67.49147,32.32323,62.699013,78.54013,78.9445,62.442657,61.269596,44.666668,64.569534,35.90913,1017.0386,-1.4832577,-1.4776238,-1.4812089,6483.2
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,600,38249.76363024712,70.05119,35.858585,80.28809,78.35093,78.56366,65.803055,69.598946,56.833332,75.32895,24.528816,1094.4508,-0.34168175,-0.45899093,-0.38433963,8774.3
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,600,39320.26535782815,68.85666,34.848484,69.97726,78.958374,79.434166,61.953968,59.277496,45.633335,61.842106,32.584972,1014.16833,-1.0750828,-1.1102054,-1.0878546,9724.8
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,800,41174.56343493462,69.62457,38.88889,80.21228,78.20155,78.67247,64.695885,72.11936,51.066666,68.21192,23.90799,1037.6603,-0.090459034,-0.3754319,-0.19408552,11699.1
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,800,42561.865943765646,70.05119,35.858585,66.41395,78.70942,79.21654,61.535583,58.824142,45.633335,58.169933,27.485401,983.7001,-0.6396401,-0.7105882,-0.66543937,12966.4
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,1000,44099.36421618462,69.28328,36.868687,80.97043,78.06214,78.9445,65.02755,74.434944,48.833332,63.57616,15.45886,1010.16956,-0.18898071,-0.5911388,-0.33522,14623.9
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,1000,45803.465553140646,68.600685,36.363636,62.16831,77.54431,79.434166,63.02335,56.44108,32.0,51.65563,18.65272,852.836,-1.0248373,-1.5686877,-1.222601,16208.0
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,1200,47024.06343493462,69.112625,33.333332,79.45413,78.45051,79.37976,63.903908,70.74424,49.9,62.582783,23.422256,1021.43933,-0.41242477,-0.91945416,-0.5967991,17548.6
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,1200,49045.065162515646,68.51536,35.858585,69.90144,78.72934,79.48857,63.63285,59.702145,32.0,58.05369,29.072618,984.27356,-0.7170935,-1.333561,-0.9412635,19449.6
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,1400,49948.86421618462,69.28328,32.32323,76.95224,78.09201,79.10773,64.865685,71.66723,45.933334,58.82353,20.155945,999.9071,-0.5270213,-0.5855931,-0.5483201,20473.4
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,1400,52286.664771890646,68.08874,36.868687,60.95527,78.13184,78.8901,66.52587,57.827454,36.266666,63.08725,23.684183,924.98846,-0.8050318,-0.76164156,-0.78925353,22691.2
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,1600,52873.66304430962,69.28328,32.32323,78.31691,78.0721,78.83569,65.018684,69.68887,48.0,65.460526,21.851723,1061.8447,-0.71395373,-0.42011482,-0.6071032,23398.2
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,1600,55528.266334390646,68.259384,33.838383,66.338135,78.24139,79.10773,66.431244,54.816166,32.633335,60.92715,22.830019,917.6568,-0.9936576,-1.3559674,-1.1254066,25932.8
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,1800,55798.46382555962,69.027306,33.838383,77.17968,78.06214,78.78128,64.70287,68.84832,52.533333,66.10738,19.855682,1007.52423,-0.81033796,-0.55924046,-0.7190298,26323.0
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,2000,58723.16304430962,68.85666,34.848484,77.71039,78.18164,78.83569,65.12491,67.22092,51.266666,66.442955,19.646866,1022.8018,-0.6084402,-0.3377147,-0.50999457,29247.7
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,1800,58769.865943765646,67.91809,34.848484,75.51175,78.17168,79.10773,65.97694,53.022648,35.933334,59.0,22.229769,931.61786,-0.8947533,-1.3041798,-1.0436356,29174.4
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,2031,59176.56343493462,68.686005,33.838383,76.95224,78.17168,78.99891,65.14053,69.79504,51.266666,65.90909,20.18532,1070.0588,-0.6175964,-0.18401714,-0.4599312,29701.1
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,2000,62011.465553140646,67.74744,35.353535,74.98105,78.32105,79.27095,66.33386,55.137146,35.933334,59.539474,20.458464,976.0665,-0.6007475,-0.9322891,-0.7213081,32416.0
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,200,62105.62759170533,68.85666,33.838383,82.48673,77.843056,78.56366,63.636555,66.91866,67.53333,76.82119,23.38517,1096.6315,-0.115222685,-1.1074225,-0.47602263,2924.8
Z-Dynamic,RandomSearch,0,3,8e-06,0.04,2031,62513.863990640646,67.74744,34.848484,74.829414,78.25134,79.27095,66.47698,55.633,35.933334,61.43791,19.247423,954.61456,-0.70059764,-0.98043716,-0.8023575,32918.4
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,200,63207.46850762368,66.894196,33.333332,84.38211,77.2854,78.23721,58.805683,72.63267,78.066666,82.46753,23.049362,1108.7236,-0.7474388,-0.43899783,-0.63527846,691.6
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,400,63899.168580865866,68.600685,36.868687,88.24867,77.6439,78.56366,62.025967,74.7372,75.26667,77.27273,24.810251,1128.4648,-0.4013403,-0.20000118,-0.32812607,1383.3
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,600,64590.76843438149,68.94198,35.858585,83.77559,77.70364,78.56366,63.054966,77.41747,71.2,78.75817,20.788673,1102.8673,-0.61899745,-0.14990772,-0.4484194,2074.9
