search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Arena-Hard,BOHB,2,0,1e-06,0.02,200,6797.101992464066,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOHB,3,1,2e-06,0.01,200,6789.50167760849,72.01365,36.868687,91.96361,82.23461,78.67247,66.43039,77.74721,58.6,85.80645,1285.0702,0.2069333,0.31286138,0.23871173,6789.4
Arena-Hard,BOHB,4,2,1e-06,0.01,200,75276.83138833047,69.96587,36.363636,89.31008,82.07529,80.52231,59.815693,80.17145,71.26667,88.3871,1232.8019,-0.2680202,0.6978711,0.021747177,6770.9
Arena-Hard,BOHB,5,2,1e-06,0.02,200,75372.91897640229,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOHB,6,0,4e-06,0.02,200,6764.001539564133,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOHB,7,0,1e-06,0.02,200,6797.10217294693,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOHB,8,0,1e-06,0.02,200,6797.102322435379,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOHB,9,1,4e-06,0.02,200,6764.003489112854,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOHB,10,1,1e-06,0.01,400,13542.00302801132,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOHB,11,1,2e-06,0.02,400,13491.605327701567,72.69624,33.838383,90.14405,82.244576,78.67247,67.5726,77.809654,66.6375,83.870964,1242.2186,-0.15611966,-0.050235413,-0.124354385,13491.5
Arena-Hard,BOHB,12,0,4e-06,0.02,200,6764.002725219727,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOHB,13,2,4e-06,0.04,200,75398.51370582581,72.01365,36.868687,91.96361,82.105156,79.16213,65.83855,77.48868,60.1,82.35294,1208.4736,0.11450141,-0.76920927,-0.15061179,6752.6
Arena-Hard,BOHB,14,0,1e-06,0.01,400,13542.002311325072,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOHB,15,0,1e-06,0.02,200,6797.101770734787,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOHB,16,0,2e-06,0.04,200,6767.001551008225,71.331055,36.868687,89.9166,82.03545,79.86942,62.660313,78.98243,67.2,84.31373,1232.137,-0.04909091,0.07977781,-0.010430298,6766.9
Arena-Hard,BOHB,17,1,4e-06,0.02,200,6764.00162563324,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOHB,18,1,2e-06,0.04,200,6767.002049303055,71.331055,36.868687,89.9166,82.03545,79.86942,62.660313,78.98243,67.2,84.31373,1232.137,-0.04909091,0.07977781,-0.010430298,6766.9
Arena-Hard,BOHB,19,0,2e-06,0.04,200,6767.002669191361,71.331055,36.868687,89.9166,82.03545,79.86942,62.660313,78.98243,67.2,84.31373,1232.137,-0.04909091,0.07977781,-0.010430298,6766.9
Arena-Hard,BOHB,20,1,4e-06,0.02,200,6764.001553630829,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOHB,21,1,1e-06,0.01,400,13542.002858257292,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOHB,22,1,1e-06,0.01,400,13542.002886152266,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOHB,23,2,1e-06,0.02,200,75442.93875608445,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOHB,24,1,2e-06,0.02,400,13491.608041858672,72.69624,33.838383,90.14405,82.244576,78.67247,67.5726,77.809654,66.6375,83.870964,1242.2186,-0.15611966,-0.050235413,-0.124354385,13491.5
Arena-Hard,BOTorch,0,1,1e-06,0.02,200,6797.102356529236,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,1,0,1e-06,0.01,400,13542.001925325392,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,2,0,4e-06,0.04,200,6752.701696491242,72.01365,36.868687,91.96361,82.105156,79.16213,65.83855,77.48868,60.1,82.35294,1208.4736,0.11450141,-0.76920927,-0.15061179,6752.6
Arena-Hard,BOTorch,3,2,2e-06,0.02,200,75391.70474824906,71.672356,37.373737,91.12965,82.274445,79.434166,65.073105,78.32922,65.99167,84.09091,1262.9352,0.43261215,0.33052003,0.4019845,6745.7
Arena-Hard,BOTorch,4,1,1e-06,0.02,200,6797.101763343811,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,5,1,1e-06,0.01,400,13542.002141809462,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,6,1,1e-06,0.02,200,6797.101939296723,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,7,1,2e-06,0.04,200,6767.001595592499,71.331055,36.868687,89.9166,82.03545,79.86942,62.660313,78.98243,67.2,84.31373,1232.137,-0.04909091,0.07977781,-0.010430298,6766.9
Arena-Hard,BOTorch,8,0,1e-06,0.01,400,13542.002196168898,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,9,2,1e-06,0.01,200,75346.8648127079,69.96587,36.363636,89.31008,82.07529,80.52231,59.815693,80.17145,71.26667,88.3871,1232.8019,-0.2680202,0.6978711,0.021747177,6770.9
Arena-Hard,BOTorch,10,0,1e-06,0.01,400,13542.002949571608,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,11,0,2e-06,0.02,400,13491.601660585402,72.69624,33.838383,90.14405,82.244576,78.67247,67.5726,77.809654,66.6375,83.870964,1242.2186,-0.15611966,-0.050235413,-0.124354385,13491.5
Arena-Hard,BOTorch,12,1,4e-06,0.02,200,6764.001963949204,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOTorch,13,0,1e-06,0.02,200,6797.104766464234,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,14,1,1e-06,0.01,400,13542.002159452437,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,15,0,1e-06,0.02,200,6797.1025472641,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,16,3,4e-06,0.02,200,75484.82460007668,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOTorch,17,2,1e-06,0.01,200,75326.87443408967,69.96587,36.363636,89.31008,82.07529,80.52231,59.815693,80.17145,71.26667,88.3871,1232.8019,-0.2680202,0.6978711,0.021747177,6770.9
Arena-Hard,BOTorch,18,1,4e-06,0.02,200,6764.001722192765,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOTorch,19,1,1e-06,0.01,400,13542.002658224104,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,20,2,4e-06,0.02,200,75319.80153951645,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Arena-Hard,BOTorch,21,1,1e-06,0.01,400,13542.00271759033,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.433334,88.3871,1276.745,0.17587416,1.6686784,0.62371546,13541.9
Arena-Hard,BOTorch,22,0,1e-06,0.02,200,6797.102298116684,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,23,0,1e-06,0.02,200,6797.10270652771,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,BOTorch,24,1,2e-06,0.02,400,13491.601977443694,72.69624,33.838383,90.14405,82.244576,78.67247,67.5726,77.809654,66.6375,83.870964,1242.2186,-0.15611966,-0.050235413,-0.124354385,13491.5
Arena-Hard,CQR,0,0,1e-06,0.02,200,6797.102577781678,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,CQR,1,1,1e-06,0.02,200,6797.101649856568,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,CQR,2,0,1e-06,0.02,200,6797.101546859742,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Arena-Hard,CQR,3,1,2e-06,0.01,200,6789.501590108872,72.01365,36.868687,91.96361,82.23461,78.67247,66.43039,77.74721,58.6,85.80645,1285.0702,0.2069333,0.31286138,0.23871173,6789.4
Arena-Hard,CQR,4,2,1e-06,0.01,200,75276.82379374505,69.96587,36.363636,89.31008,82.07529,80.52231,59.815693,80.17145,71.26667,88.3871,1232.8019,-0.2680202,0.6978711,0.021747177,6770.9
