search_objective,optimizer,seed,trial_id,size,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
ELO,BOHB,2,1,8b,4e-06,0.01,400,8528.205826377867,73.63481,39.89899,89.461716,80.521805,75.51687,66.80005,76.452034,68.066666,87.08609,43.21869,1224.9589,0.7624777,0.71194535,0.7441023,8528.1
ELO,BOHB,3,1,8b,1e-06,0.01,400,8503.802780246733,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.13333,86.92811,50.0,1262.8969,0.7328495,1.0249617,0.8390721,8503.7
ELO,BOHB,4,3,14b,2e-06,0.04,200,26297.252440309523,71.331055,36.868687,89.9166,82.03545,79.86942,62.660313,78.98243,67.13333,84.31373,41.638817,1232.137,0.8657634,0.6721739,0.79536724,6766.9
ELO,BOHB,5,2,14b,4e-06,0.01,200,16739.828546857832,74.06143,36.363636,90.59894,82.25453,77.14908,69.228386,79.03363,70.666664,86.451614,53.84435,1268.0673,0.897812,0.9996048,0.93482757,6759.6
ELO,BOHB,6,6,14b,2e-06,0.02,200,17196.243032318114,71.672356,37.373737,91.12965,82.274445,79.434166,65.073105,78.32922,72.066666,84.09091,51.98968,1262.9352,0.9103049,0.94679034,0.9235723,6745.7
ELO,BOHB,7,1,8b,1e-06,0.02,400,8508.005640840529,71.07509,38.38384,85.74678,79.82474,77.85637,63.049118,79.82049,69.6,83.22581,43.49624,1254.9758,0.72375345,0.6804024,0.7079894,8507.9
ELO,BOHB,8,0,8b,1e-06,0.02,400,8508.002444839476,71.07509,38.38384,85.74678,79.82474,77.85637,63.049118,79.82049,69.6,83.22581,43.49624,1254.9758,0.72375345,0.6804024,0.7079894,8507.9
ELO,BOHB,9,0,14b,4e-06,0.02,200,6764.001833534241,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.96667,83.552635,50.026516,1262.8114,0.92929727,0.9276821,0.92871,6763.9
ELO,BOHB,10,5,8b,4e-06,0.02,200,27951.49778065872,71.92833,38.88889,86.50493,80.233025,77.910774,64.28033,78.08692,72.0,85.76159,41.394894,1237.6453,0.8198004,0.81409365,0.8177252,4256.0
ELO,BOHB,11,4,14b,2e-06,0.01,200,22219.89721999549,72.01365,36.868687,91.96361,82.23461,78.67247,66.43039,77.74721,76.9,85.80645,57.493683,1285.0702,0.89506,1.1885978,1.001801,6789.4
ELO,BOHB,12,3,14b,2e-06,0.02,200,20261.074474908823,71.672356,37.373737,91.12965,82.274445,79.434166,65.073105,78.32922,72.066666,84.09091,51.98968,1262.9352,0.9103049,0.94679034,0.9235723,6745.7
ELO,BOHB,13,2,14b,2e-06,0.01,200,16869.625629997252,72.01365,36.868687,91.96361,82.23461,78.67247,66.43039,77.74721,76.9,85.80645,57.493683,1285.0702,0.89506,1.1885978,1.001801,6789.4
