search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,200,4254.102444267273,70.05119,38.38384,83.093254,79.46624,78.67247,58.285748,78.848785,67.46667,76.797386,29.549736,1177.3207,-0.36345243,-1.1427023,-0.6468161,4254.0
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,200,4262.502281284333,70.819115,38.88889,84.60955,79.615616,78.07399,60.554516,80.688515,70.066666,83.11688,32.8592,1195.9059,0.22388005,-0.24858908,0.052073095,4262.4
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,400,8508.002834892271,71.07509,38.38384,85.74678,79.82474,77.85637,63.049118,79.82049,69.46667,83.22581,43.49624,1254.9758,-0.46438155,0.4883803,-0.117922686,8507.9
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,400,8524.80257425308,71.75768,39.39394,86.884,79.764984,77.63874,63.815445,79.181015,67.8,79.545456,36.454247,1205.6589,-0.10358564,-0.8301328,-0.3677846,8524.7
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,600,12762.002834892271,71.07509,39.39394,86.656555,79.88448,77.58433,63.86284,78.08692,72.333336,84.49367,43.079212,1228.2953,-0.54993737,1.0878172,0.045609746,12761.9
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,600,12787.20198831558,72.098976,38.88889,87.03563,80.063736,77.693146,64.47386,79.32214,65.73333,79.166664,36.403,1201.2975,-0.105810046,-0.69721264,-0.32086554,12787.1
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,800,17015.90322551727,72.098976,40.40404,86.80819,79.98407,77.47552,64.418495,79.6219,72.833336,80.76923,40.79183,1223.41,-0.22536251,0.8335903,0.15971126,17015.8
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,800,17049.60237894058,72.098976,39.39394,85.89841,79.9044,77.63874,64.82127,80.47868,63.433334,80.132454,31.828594,1181.3322,-0.38602665,-0.54453194,-0.44366494,17049.5
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1000,21269.90322551727,71.843,39.89899,86.656555,79.92432,77.801956,64.51697,78.45162,68.7,85.031845,39.921753,1217.537,-0.16102013,1.246357,0.35075337,21269.8
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,1000,21311.90316019058,72.01365,39.39394,85.51933,80.03386,77.47552,64.61088,81.085686,62.933334,82.67974,31.643797,1180.306,-0.2970353,-0.06442768,-0.21245071,21311.8
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1200,25523.90322551727,72.01365,38.88889,87.26308,79.79486,77.58433,64.39136,77.00158,70.433334,81.6129,39.98033,1216.6107,-0.34398705,0.6762292,0.027000675,25523.8
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,1200,25574.30159769058,72.01365,38.88889,84.988625,80.163315,77.3667,64.46501,79.30341,62.533333,82.67974,34.063072,1163.6768,-0.4684868,-0.42482415,-0.45260945,25574.2
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1400,29777.80166301727,71.75768,40.40404,86.353294,79.87453,77.52992,64.60147,77.05277,69.0,83.22785,39.958138,1175.2709,-0.2663577,0.68693703,0.08029494,29777.7
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,1400,29836.70198831558,71.92833,38.88889,85.595146,80.15336,77.47552,64.577415,79.42581,61.666668,79.27631,31.10148,1157.5542,-0.32233742,-0.90108895,-0.5327925,29836.6
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1600,34031.80166301728,71.92833,41.414143,86.20167,79.95419,77.3667,64.69106,77.341286,66.23333,84.09091,38.704823,1204.9583,-0.0786681,0.8629112,0.2637244,34031.7
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,1600,34099.00081644059,71.672356,38.38384,85.36771,80.12348,77.312294,64.78996,79.869194,62.833332,80.26316,30.219585,1174.8765,-0.4073606,-0.60090315,-0.47773972,34098.9
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1800,38285.80166301728,71.843,39.89899,86.05004,79.87453,77.094666,64.82793,76.04861,67.63333,83.43949,40.40452,1191.3988,-0.45714542,0.7166527,-0.030309731,38285.7
Z-Dynamic,RandomSearch,0,0,2e-06,0.04,1800,38361.40316019059,71.75768,37.878788,86.884,80.07369,77.20348,64.70456,78.93871,64.13333,80.7947,32.42621,1176.3981,-0.4754083,-0.58347845,-0.51470655,38361.3
