search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,600,88928.19786510468,73.29352,34.848484,89.53753,82.344154,78.67247,68.41931,77.35752,66.35,80.128204,1245.603,-0.097071715,-0.23838753,-0.13946646,20237.2
Z-Dynamic,RandomSearch,0,2,2e-06,0.04,800,95623.4877811432,72.44027,36.868687,91.28127,82.08524,79.59739,66.30475,77.518654,67.2,84.09091,1186.5642,0.09868008,-0.0941055,0.040844407,27067.5
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,800,95673.99864635468,73.464165,34.848484,89.61334,82.39394,78.40044,68.85642,77.5074,66.0625,82.35294,1226.038,-0.20185278,0.2468538,-0.067240804,26983.0
Z-Dynamic,RandomSearch,0,2,2e-06,0.04,1000,102390.3862186432,72.61092,34.343433,91.58453,82.18482,79.542984,66.206276,75.937454,67.2,83.44156,1176.299,-0.09809292,0.12752749,-0.030406797,33834.4
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,1000,102419.69786510468,73.549484,32.82828,89.00682,82.38399,78.78128,68.56412,76.38084,65.53333,79.27631,1230.1294,-0.3433722,0.07260532,-0.21857895,33728.7
Z-Dynamic,RandomSearch,0,2,2e-06,0.04,1200,109157.1869998932,72.5256,34.848484,91.357086,82.12508,79.542984,65.78686,74.72096,67.2,83.00654,1220.5165,-0.14954703,0.2181382,-0.039241455,40601.2
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,1200,109165.49864635468,73.63481,33.333332,89.84079,82.44373,78.78128,68.232864,76.39957,65.67083,82.371796,1232.287,-0.108807184,0.18189336,-0.021597017,40474.5
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,1400,115911.19786510468,73.20819,32.82828,90.44731,82.364075,79.05332,68.391304,75.618965,65.73333,81.04575,1215.7483,-0.11859627,0.13272625,-0.043199513,47220.2
Z-Dynamic,RandomSearch,0,2,2e-06,0.04,1400,115924.0893436432,72.61092,33.333332,92.03942,82.06532,79.59739,65.82783,74.8571,67.2,80.06536,1206.4105,-0.1146465,-0.022818856,-0.0870982,47368.1
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,1600,122656.99864635468,73.63481,33.333332,90.97801,82.413864,78.8901,68.46187,74.312546,65.425,81.04575,1232.7921,0.015133788,0.41372105,0.13470997,53966.0
Z-Dynamic,RandomSearch,0,2,2e-06,0.04,1600,122690.9877811432,72.44027,33.838383,92.191055,82.19478,79.7062,65.850174,74.52238,67.2,79.08497,1218.269,-0.057967894,0.22233753,0.026123732,54135.0
Z-Dynamic,RandomSearch,0,3,2e-06,0.02,1800,129402.69786510468,73.72014,33.838383,91.50872,82.54332,79.05332,68.38918,76.138535,63.95,82.258064,1237.089,0.24779426,0.4661126,0.31328976,60711.7
Z-Dynamic,RandomSearch,0,2,2e-06,0.04,1800,129457.8862186432,72.78157,35.353535,91.66035,82.06532,79.434166,65.867065,75.02571,62.033333,83.88158,1210.739,0.011351613,0.282727,0.09276423,60901.9
