search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,400,15001.158978080748,59.300343,20.707071,53.44958,69.16949,76.16975,49.70932,47.424778,75.73333,85.9589,20.037004,992.27344,1.0388099,1.2837253,1.1278701,2460.9
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,600,16199.658260202406,58.447098,21.717173,52.16073,68.28321,76.060936,47.978085,41.739475,67.166664,77.55102,13.244791,977.8431,0.16739589,0.3923012,0.24917963,3704.4
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,600,16231.559124565125,58.61775,22.222221,56.40637,69.48815,76.060936,50.784946,49.98892,75.433334,83.916084,20.57904,929.0771,1.1669881,0.9739633,1.0967973,3691.3
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,800,17434.458553171156,58.532425,20.20202,53.44958,68.36288,75.57127,48.27853,43.320667,69.066666,80.7947,17.322247,929.51465,-0.44075504,0.42332652,-0.12654355,4939.2
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,800,17461.959271049498,59.215015,22.222221,56.558,69.508064,76.22416,51.007473,48.597553,74.3,88.43537,20.32413,959.6503,1.0400727,1.0588517,1.0469015,4921.7
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,1000,18669.258357858656,58.191128,21.717173,55.34496,68.39275,76.060936,48.3718,43.491768,68.933334,80.067566,16.16497,904.1557,0.047532193,0.2871579,0.13466881,6174.0
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1000,18692.459271049494,59.300343,22.222221,55.724033,69.67735,75.952126,51.19709,50.118797,73.4,84.9315,20.341768,971.81805,1.033671,1.0385889,1.0354593,6152.2
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,1200,19904.05816254616,58.61775,20.20202,54.738438,68.532166,76.060936,48.470997,44.599606,71.7,78.521126,16.36693,970.2379,0.011746072,0.55491173,0.20926085,7408.8
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1200,19922.859173393248,59.47099,21.717173,57.240334,69.60765,75.51687,51.3951,50.026375,76.566666,89.11565,21.393772,937.7151,0.70896316,1.0820725,0.8446393,7382.6
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,1400,21138.95855317116,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.63333,78.85906,18.168123,950.77734,0.4422399,0.45981777,0.44863188,8643.7
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1400,21153.259075737,59.64164,22.222221,57.16452,69.60765,75.7889,51.438747,49.433117,74.86667,85.57047,21.769796,995.8008,1.0771986,1.1388042,1.0996007,8613.0
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,1600,22373.758357858656,58.70307,20.20202,53.98029,68.31309,75.7889,48.360264,43.657883,70.86667,80.55556,16.805529,972.5574,-0.2878975,0.6593017,0.05653858,9878.5
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1600,22383.759075737,59.215015,22.727272,57.16452,69.5479,75.84331,51.514122,49.294483,75.833336,82.55034,21.66753,934.38306,0.9337411,0.96253556,0.94421184,9843.5
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,1800,23608.55816254616,58.447098,21.212122,53.98029,68.41267,75.89771,48.54993,44.28987,71.9,78.81944,16.805481,936.9572,0.08688287,0.529228,0.24773562,11113.3
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,1800,23614.159466362,59.385666,20.707071,56.330555,69.5479,75.7345,51.593643,49.248272,77.76667,78.47682,22.222586,915.6758,0.826696,0.8378739,0.83076066,11073.9
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,2000,24843.357967233656,58.532425,22.727272,54.359364,68.333,76.00653,48.504456,45.677467,71.86667,87.93104,16.470451,952.8265,0.33114612,0.74062866,0.48004887,12348.1
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,2000,24844.558880424494,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.1,80.68965,22.627554,927.859,0.9108035,0.8244999,0.8794204,12304.3
Z-Dynamic,RandomSearch,0,2,2e-06,0.02,2031,25034.758357858656,57.935154,20.707071,54.814255,68.39275,76.00653,48.42072,44.675793,69.833336,82.21477,16.588951,898.0144,-0.06680874,0.3507797,0.085041605,12539.5
Z-Dynamic,RandomSearch,0,3,4e-06,0.02,2031,25035.259075737,59.385666,19.69697,57.391964,69.577774,76.16975,51.550198,50.391075,77.333336,85.13513,22.30177,1003.3124,0.9199218,1.3050947,1.0599847,12495.0
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,200,26265.81367907524,57.84983,21.212122,45.86808,68.18363,75.62568,47.15046,40.8577,67.53333,76.689186,12.021942,875.90576,0.38362443,1.2703952,0.7060865,1230.4
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,200,26270.11365923881,56.740616,22.222221,34.874905,67.38698,75.29924,47.30732,40.245716,52.0,54.63576,4.8149557,727.1469,-0.6409024,-1.1318415,-0.8194257,1234.7
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,400,27496.313557004927,59.300343,20.707071,53.44958,69.16949,76.16975,49.70932,47.424778,75.73333,85.9589,20.037004,992.27344,1.0388099,1.2837253,1.1278701,2460.9
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,400,27504.81361041069,57.167236,23.737373,37.3768,67.50647,75.62568,47.193043,40.601658,55.133335,60.135136,5.776713,792.39075,-0.62894696,-1.2678597,-0.86127883,2469.4
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,600,28726.713703489306,58.61775,22.222221,56.40637,69.48815,76.060936,50.784946,49.98892,75.433334,83.916084,20.57904,929.0771,1.1669881,0.9739633,1.0967973,3691.3
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,600,28739.61365923881,57.764503,20.707071,39.727066,67.6658,75.62568,47.243523,39.82356,58.3,66.22517,5.3722734,824.87933,-0.979185,-1.1337428,-1.0353878,3704.2
