lr,beta,dpo_step,elapsed_time_sec,model_name,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
1e-06,0.01,200,4251.8,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step200,69.96587030716724,36.36363636363637,82.33510235026536,79.59569806811392,78.56365614798693,58.486214726236476,78.34296333727842,69.76666666666665,75.66666666666667,34.619555128479554,1184.4757403221422
1e-06,0.01,400,8503.7,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step400,71.50170648464163,38.38383838383838,87.03563305534496,80.30272854013145,77.52992383025027,63.91824279532323,78.31548070231432,75.16666666666666,86.9281045751634,50.0,1262.896860681334
1e-06,0.01,600,12755.5,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step600,72.09897610921502,41.41414141414141,87.94541319181198,80.56164110734913,77.14907508161045,64.6966479562118,78.02447505950877,73.66666666666666,84.49367088607595,46.67715239693261,1246.5873318349281
1e-06,0.01,800,17007.3,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step800,72.26962457337885,39.8989898989899,88.40030326004549,80.57159928301135,77.31229597388466,65.11360987302946,78.9249746228895,73.1,81.4935064935065,45.52046000319221,1229.9160298875393
1e-06,0.01,1000,21259.1,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step1000,72.09897610921502,40.4040404040404,88.77937831690674,80.55168293168691,77.14907508161045,65.17880958062644,77.2900902937539,69.86666666666666,81.32911392405063,45.15595063638568,1221.4970094526657
1e-06,0.01,1200,25511.0,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step1200,72.61092150170649,39.8989898989899,88.32448824867323,80.7608046205935,77.09466811751903,65.32958318965957,77.48867449478495,69.23333333333332,81.29032258064515,44.70291948068797,1239.7577813962916
1e-06,0.01,1400,29762.8,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step1400,72.44027303754265,40.4040404040404,88.62774829416225,80.73093009360686,77.14907508161045,65.70994306946861,78.03821637699083,70.6,81.37254901960785,45.34247355404103,1218.8317063826214
1e-06,0.01,1600,34014.6,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step1600,72.35494880546075,40.4040404040404,88.77937831690674,80.7608046205935,76.4961915125136,65.6580979106001,77.51865051396962,69.06666666666666,80.64516129032258,46.10561418631119,1239.4068381054933
1e-06,0.01,1800,38266.5,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step1800,72.18430034129693,39.8989898989899,89.38589840788475,80.94005178251345,76.93144722524482,65.84903612038822,79.24096951643861,71.33333333333333,83.7579617834395,45.01569524645049,1205.461689346824
1e-06,0.01,2000,42518.3,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01-step2000,72.26962457337885,39.39393939393939,88.855193328279,80.80063732324238,76.6594124047878,65.7922191679823,77.64104797492874,69.43333333333334,79.6774193548387,45.07931511490819,1220.3443995268087
1e-06,0.01,2031,43177.3,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.01,72.44027303754265,40.4040404040404,88.70356330553449,80.80063732324238,76.87704026115343,65.90288480570794,77.85586687766238,70.1,82.16560509554141,46.21616499455696,1226.4259239203795
1e-06,0.02,200,4254.0,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.02-step200,70.05119453924915,38.38383838383838,83.09325246398787,79.46624178450507,78.67247007616976,58.28574614110066,78.84878788281759,67.46666666666667,76.79738562091504,29.549735106522927,1177.3206964408353
1e-06,0.02,400,8507.9,dpo-qwen3-8b-sft-lr3e5-ao-lr1e6-beta0.02-step400,71.07508532423208,38.38383838383838,85.74677786201667,79.82473610834495,77.85636561479869,63.04911771069918,79.82048741782914,69.46666666666665,83.22580645161291,43.496240211517815,1254.9757869448044
