size,optimizer,pct_reached
0.6b,RandomSearch,32.0
0.6b,BOTorch,48.0
0.6b,TPE,64.0
0.6b,CQR,64.0
0.6b,ASHA,64.0
0.6b,BOHB,64.0
1.7b,RandomSearch,52.0
1.7b,BOTorch,40.0
1.7b,TPE,48.0
1.7b,CQR,56.0
1.7b,ASHA,56.0
1.7b,BOHB,56.0
4b,RandomSearch,44.0
4b,BOTorch,44.0
4b,TPE,36.0
4b,CQR,48.0
4b,ASHA,60.0
4b,BOHB,52.0
8b,RandomSearch,92.0
8b,BOTorch,68.0
8b,TPE,76.0
8b,CQR,76.0
8b,ASHA,76.0
8b,BOHB,76.0
14b,RandomSearch,68.0
14b,BOTorch,68.0
14b,TPE,76.0
14b,CQR,64.0
14b,ASHA,64.0
14b,BOHB,64.0
